67	54	41	44	07	43
43	77	75	72	81	00
**	95	53	58	50	23
07	29	59	65	97	82
21	32	**	00	13	80
32	82	84	32	77	26
87	68	65	50	00	77
74	59	44	14	28	63
51	63	60	25	68	21
01	90	37	74	35	28
48	15	96	95	41	84
14	12	22	17	62	**
**	**	**	**	**	**
79	78	26	07	46	19
47	11	99	11	50	98
05	07	94	59	80	81
45	40	34	36	32	85
60	12	28	63	89	64
39	60	63	57	13	34
65	87	22	30	56	91
63	14	81	02	17	08
45	39	71	06	60	60
26	04	70	96	81	07
59	07	03	54	92	97
00	25	43	71	29	06
21	48	91	**	80	69
81	67	53	82	03	26
98	13	42	51	97	44
62	68	77	64	14	25
72	23	16	49	15	63
00	22	34	27	66	53
53	45	**	21	63	17
27	30	00	57	51	25
40	60	01	75	44	44
42	96	24	63	76	90
41	09	93	96	20	62
11	31	36	79	07	13
10	52	76	15	74	29
10	21	34	64	07	34
72	10	05	26	16	93
30	26	76	48	82	55
32	62	64	09	13	19
99	28	49	68	57	09
90	88	98	49	67	64
93	19	23	60	85	24
62	90	65	52	34	32
33	32	69	29	57	31
99	82	16	16	42	27
38	56	59	33	44	85
44	85	85	01	38	71
49	07	11	53	93	95
20	04	99	18	45	04
88	17	91	79	10	72
98	72	85	33	19	05
24	**	43	11	44	82
**	28	78	16	47	40
42	39	37	60	36	09
19	57	60	20	00	84
70	26	51	93	97	78
25	89	97	04	34	43
73	15	05	39	77	80
32	47	85	32	43	40
15	86	99	38	99	38
13	84	06	65	98	16
38	26	02	02	39	57
90	19	56	69	23	62
65	10	19	68	**	**
**	**	**	**	**	**
82	34	91	77	45	15
14	99	84	64	08	23
90	24	48	68	57	71
94	95	76	79	50	76
77	41	53	54	21	63
42	75	14	79	67	15
50	88	80	96	69	79
61	02	50	68	02	27
77	08	88	01	77	18
91	61	28	64	**	44
12	50	05	99	05	04
70	95	87	81	41	58
40	66	44	52	05	62
97	20	40	08	67	36
01	05	46	94	27	92
17	70	63	47	95	24
13	98	01	78	53	19
44	01	12	16	34	66
**	37	84	30	57	46
67	62	39	04	32	88
91	78	51	04	06	35
41	03	73	39	39	10
90	71	69	31	65	13
78	19	39	29	02	09
82	40	17	43	89	91
35	43	46	42	84	47
40	25	86	57	43	57
19	89	35	32	76	59
85	63	43	30	15	79
67	95	15	72	89	48
01	00	22	88	13	42
00	86	31	33	95	23
25	68	14	28	88	96
62	62	72	76	54	68
48	43	36	40	72	08
88	06	11	41	90	55
39	12	70	39	73	73
77	09	66	13	21	07
84	20	89	**	41	70
38	77	84	03	28	86
04	91	15	52	68	45
29	10	48	88	51	**
61	74	49	87	49	71
64	65	57	11	28	71
55	42	23	74	42	79
66	23	19	80	34	05
43	61	61	46	88	75
79	35	29	21	04	31
49	62	02	60	90	09
**	**	**	**	**	**
**	**	07	16	73	48
73	22	45	60	89	77
86	92	59	94	93	35
92	62	89	82	18	32
53	12	03	41	54	04
53	01	68	01	66	22
31	55	93	84	27	87
58	85	82	27	55	46
28	69	98	19	46	68
81	03	24	67	19	38
26	72	08	07	88	56
16	19	70	66	54	53
08	54	74	43	88	73
53	28	24	35	04	09
02	08	55	29	98	45
89	57	82	36	62	52
05	63	65	79	94	03
95	70	67	09	26	89
78	78	93	69	**	31
77	51	82	89	55	85
02	90	46	21	23	88
37	51	33	37	23	84
09	65	61	25	64	45
80	93	76	87	07	62
05	28	44	27	05	94
45	05	47	51	05	96
64	57	59	56	86	44
79	06	74	82	12	32
29	56	50	95	81	77
18	17	03	41	87	13
81	06	69	86	64	71
60	37	05	03	55	02
22	13	29	01	59	56
70	09	87	40	18	10
19	98	42	09	18	68
25	24	46	57	17	85
81	24	75	58	10	56
70	52	91	38	52	42
01	69	04	71	21	80
92	68	93	11	31	08
59	11	08	18	**	**
93	25	03	35	17	74
66	50	**	21	87	79
64	74	20	60	45	**
10	28	18	71	86	19
49	07	71	96	64	37
67	44	32	40	43	44
24	27	49	09	22	32
25	89	38	69	11	05
03	43	54	56	32	**
