89	87	62	88	76	62	22
10	68	80	93	59	91	50
69	55	79	57	84	40	58
39	65	21	68	01	87	41
20	67	63	45	84	09	92
32	24	60	51	64	05	58
10	90	28	97	79	40	74
08	49	26	40	23	31	83
26	69	46	02	60	90	41
29	68	23	27	56	66	89
68	56	91	06	93	48	56
85	60	95	57	86	94	47
32	48	81	43	82	75	62
53	78	79	54	70	35	35
24	31	53	40	21	32	09
71	66	38	62	82	31	78
93	73	51	27	85	02	81
75	99	79	69	98	24	88
90	53	33	80	42	41	80
26	97	70	91	58	76	59
06	93	70	38	98	**	32
92	47	73	93	51	01	34
64	54	32	01	63	30	92
60	03	54	94	96	76	73
04	70	55	25	58	13	72
68	91	31	13	14	20	28
49	68	40	61	27	93	02
97	66	80	61	08	21	60
97	99	09	20	92	73	99
**	**	**	**	**	**	**
32	06	29	34	40	81	30
11	07	96	36	83	20	79
51	37	80	71	11	65	25
23	52	06	30	88	69	35
83	07	37	15	49	81	11
80	64	69	79	88	24	15
80	64	35	92	35	72	84
98	53	32	18	63	10	86
43	17	04	20	12	41	59
95	**	77	24	55	46	90
63	48	97	92	77	21	52
67	10	87	66	31	00	70
11	74	06	24	99	60	55
04	82	39	24	52	88	98
66	74	47	38	91	06	80
98	40	66	16	39	72	46
22	84	40	08	73	99	39
86	87	00	37	13	19	48
**	18	66	59	00	51	85
76	24	30	08	95	43	13
12	26	46	91	19	60	97
06	70	11	69	15	25	92
77	23	30	19	02	56	13
69	56	99	17	84	39	32
10	56	06	54	39	32	21
47	03	37	85	90	09	59
17	51	09	75	10	23	25
43	43	67	92	71	12	18
33	03	50	41	51	84	76
55	37	92	83	33	29	40
52	52	79	40	81	74	19
60	64	40	60	88	37	87
51	86	89	64	19	37	59
75	81	41	20	14	14	98
59	62	65	60	72	75	42
07	00	88	10	61	72	25
88	57	48	35	94	34	67
67	13	17	40	17	00	**
27	77	30	88	88	06	14
60	87	82	00	91	98	48
19	77	98	79	25	37	40
06	66	49	49	28	48	61
24	70	76	03	05	33	90
43	34	34	16	09	70	72
19	51	82	95	93	26	37
98	30	51	76	71	65	69
06	20	41	79	10	90	78
90	97	97	45	58	68	21
78	04	95	97	21	87	64
13	68	12	80	29	28	69
07	80	74	48	41	46	86
40	36	75	35	12	48	30
80	32	02	88	99	58	58
66	01	64	45	46	16	35
91	58	75	40	47	76	27
95	19	94	73	33	64	04
